Brand,Price (Rp),Location,Rating,Sold
Asus,5689000,Jakarta Utara,5.0,100
Lenovo,2500000,Jakarta Pusat,5.0,60
Asus,7377000,Jakarta Pusat,5.0,7
Axioo,3050000,Jakarta Selatan,5.0,40
Google,2800000,Jakarta Pusat,5.0,60
Hp,2500000,Jakarta Barat,4.9,40
Hp,5149000,Jakarta Utara,4.9,250
Asus,16449000,Jakarta Utara,5.0,250
Lenovo,2800000,Jakarta Barat,4.9,250
Lenovo,5950000,Bogor,4.9,40
Asus,5899000,Jakarta Pusat,5.0,60
Axioo,2669000,Jakarta Utara,5.0,100
Lenovo,3050000,Jakarta Barat,5.0,50
Msi,15799000,Jakarta Pusat,5.0,1
Hp,3250000,Jakarta Barat,4.8,50
Axioo,2749000,Jakarta Utara,4.9,750
Hp,2700000,Bandung,5.0,30
Asus,7499000,Jakarta Pusat,5.0,20
Asus,9699000,Jakarta Utara,4.9,100
Asus,6849000,Jakarta Utara,5.0,100
Asus,3779000,Jakarta Utara,4.9,500
Hp,5349000,Jakarta Utara,5.0,80
Hp,3700000,Jakarta Barat,5.0,6
Dell,2500000,Jakarta Barat,5.0,16
Lenovo,3000000,Jakarta Pusat,5.0,250
Dell,7500000,Jakarta Pusat,5.0,22
Asus,1150000,Malang,0,0
Asus,8700000,Bandung,0,0
Asus,6600000,Bandung,5.0,1
Dell,5250000,Jakarta Barat,4.9,30
Lenovo,1000000,Jakarta Barat,5.0,4
Dell,8990000,Jakarta Barat,5.0,15
Dell,9999000,Jakarta Pusat,5.0,2
Lenovo,2000000,Jakarta Barat,5.0,60
Lenovo,6199000,Jakarta Pusat,4.9,500
Dell,4000000,Jakarta Pusat,5.0,30
Asus,7199000,Jakarta Utara,0,0
Asus,5689000,Jakarta Utara,4.9,1000
Acer,5449000,Jakarta Pusat,5.0,8
Lenovo,6299000,Jakarta Pusat,4.9,28
Hp,2300000,Jakarta Barat,4.9,100
Tecno,6999000,Jakarta Utara,5.0,100
Asus,6899000,Jakarta Utara,5.0,100
Hp,8084000,Bandung,0,0
Axioo,2449000,Jakarta Utara,4.9,1000
Lenovo,10299000,Tangerang,4.0,3
Asus,4550000,Kediri,5.0,1
Axioo,4229000,Jakarta Utara,5.0,100
Asus,1340000,Jakarta Barat,4.8,40
Asus,3859000,Jakarta Timur,5.0,15
Ast,7350000,Jakarta Barat,5.0,6
Asus,1550000,Jakarta Barat,4.6,60
Lenovo,2450000,Jakarta Pusat,4.8,60
Lenovo,2400000,Jakarta Barat,5.0,9
Lenovo,5579000,Jakarta Utara,5.0,250
Lenovo,1750000,Jakarta Barat,4.8,90
Asus,11000000,Jakarta Selatan,0,1
Lenovo,3650000,Jakarta Barat,4.8,17
Lenovo,3600000,Jakarta Barat,5.0,3
Lenovo,4379000,Jakarta Utara,5.0,100
Lenovo,3950000,Jakarta Barat,5.0,250
Hp,2500000,Jakarta Barat,4.7,250
Hp,14799000,Jakarta Selatan,5.0,5
Dell,7000000,Jakarta Timur,4.7,5
Dell,1500000,Jakarta Utara,4.7,60
Lenovo,4549000,Jakarta Pusat,5.0,100
Asus,3050000,Jakarta Barat,5.0,22
Lenovo,2450000,Jakarta Pusat,4.8,17
Huawei,7397000,Jakarta Utara,0,2
Lenovo,8149000,Jakarta Utara,5.0,60
Hp,2500000,Jakarta Barat,5.0,80
Lenovo,7200000,Jakarta Pusat,5.0,9
Lenovo,1400000,Bandung,4.9,250
Lenovo,9999000,Jakarta Utara,0,0
Asus,8039000,Jakarta Utara,5.0,250
Lenovo,4800000,Malang,0,2
Hp,7249000,Jakarta Utara,4.9,750
Apple,8250000,Tangerang,5.0,9
Lenovo,5799000,Makassar,4.9,40
Hp,4450000,Jakarta Pusat,5.0,50
Lenovo,3000000,Jakarta Barat,5.0,50
Acer,8519000,Jakarta Timur,5.0,6
Lenovo,2835000,Malang,0,0
Lenovo,5499000,Jakarta Pusat,5.0,250
Hp,5799000,Jakarta Utara,5.0,250
Asus,5689000,Jakarta Pusat,4.9,1000
Apple,3950000,Jakarta Pusat,4.1,19
Samsung,10875000,Jakarta Utara,5.0,40
Lenovo,9000000,Jakarta Barat,4.8,29
Lenovo,3650000,Jakarta Barat,5.0,250
Dell,4207500,Jakarta Barat,5.0,10
Lenovo,18799000,Jakarta Utara,5.0,250
Hasee,4250000,Jakarta Utara,0,0
Asus,7399000,Jakarta Utara,5.0,100
Lenovo,3650000,Jakarta Pusat,5.0,7
Dell,4100000,Kab. Tangerang,5.0,50
Dell,3800000,Jakarta Pusat,4.9,30
Lenovo,2050000,Jakarta Barat,5.0,30
Msi,3200000,Surakarta,0,0
Dell,4999999,Jakarta Barat,4.8,30
Asus,3849000,Jakarta Pusat,5.0,6
Axioo,7649000,Jakarta Selatan,5.0,100
Dell,5390000,Jakarta Utara,5.0,50
Hp,1000000000,Kab. Kendal,0,0
Asus,5149000,Jakarta Timur,4.6,40
Hp,6399000,Jakarta Utara,4.9,100
Lenovo,1950000,Jakarta Selatan,0,3
Lenovo,1600000,Jakarta Pusat,5.0,2000
Lenovo,2800000,Bandung,5.0,5
Asus,3799000,Jakarta Pusat,4.9,2000
Lenovo,5350000,Bogor,4.8,250
Infinix,6199000,Bandung,5.0,2
Advan,4599000,Kab. Tangerang,4.8,1000
Lenovo,5000000,Jakarta Barat,4.0,9
Lenovo,4999000,Jakarta Pusat,4.7,60
Lenovo,3700000,Jakarta Pusat,5.0,17
Acer,4949000,Jakarta Timur,4.9,100
Asus,28999000,Kab. Karawang,0,1
Dell,14899000,Jakarta Utara,5.0,10
Lenovo,5700000,Jakarta Barat,5.0,4
Lenovo,2790000,Jakarta Utara,5.0,100
Lenovo,10099000,Jakarta Pusat,5.0,40
Lenovo,1300000,Kab. Tangerang,0,0
Dell,2400000,Jakarta Barat,5.0,18
Lenovo,1732500,Jakarta Barat,5.0,50
Lenovo,4275000,Jakarta Pusat,4.9,250
Dell,2350000,Bogor,4.6,14
Asus,2000000,Tangerang,0,0
Dell,2200000,Bogor,5.0,2
Asus,2000000,Jakarta Barat,5.0,27
Asus,2500000,Tangerang,0,0
Lenovo,420000,Jakarta Selatan,5.0,6
Lenovo,3390000,Jakarta Utara,5.0,60
Dell,26499000,Jakarta Utara,5.0,1
Asus,6899000,Jakarta Timur,5.0,26
Lenovo,2400000,Jakarta Barat,5.0,25
Lenovo,4775000,Kab. Sleman,0,0
