Name,Price,Location,Rating,Sold
Asus Vivobook 14 A1404 Core I5 Gen 13 16GB 1TB SSD W 11 + OHS 14.0 Asus Vivobook 14 A1404VA,Rp8.149.000,Jakarta Pusat,4.9,100+ terjual
Laptop HP Victus 15 FA2716TX GeForce RTX 3050 - I5 13420H RAM 8GB 512GB SSD 144HZ,Rp11.299.000,Jakarta Utara,4.9,100+ terjual
Lenovo Ideapad Slim 5i i7-13620H 1TB SSD 16GB WUXGA OLED Win11+OHS,Rp14.299.000,Jakarta Barat,4.8,8 terjual
Lenovo V14 Gen 4 AMD Ryzen 5 7430U 512GB SSD 8GB RAM Windows 11 OHS 14 Inch FHD IPS 7430 13ID,Rp6.949.000,Jakarta Utara,5.0,100+ terjual
"[SECOND] Macbook Pro 2017 i7 15inch"" 16GB RAM 1TB SSD Touchbar GPU Radeon Pro | Mulus Bergaransi",Rp5.650.000,Jakarta Pusat,5.0,30+ terjual
"Laptop MSI Thin GF63 RTX 3050 144Hz i5 11400H RAM 16GB 512GB SSD 15,6""",Rp9.599.000,Jakarta Selatan,4.9,27 terjual
Laptop HP Victus 15 RTX4050 Amd Ryzen 5 8645H Ram 32GB DDR5 1TB SSD 144Hz Windows 11,Rp11.699.000,Jakarta Selatan,5.0,24 terjual
Acer Chromebook 13 CB713 i3-8th / i5-8th / i7-8th RAM 8GB / Chromebook,Rp1.500.000,Jakarta Pusat,4.9,80+ terjual
Macbook Air Retina 2018 13” i5 Bisa instant kurir,Rp3.970.000,Jakarta Selatan,5.0,28 terjual
Laptop Dell Latitude 7280 Core i5 Gen 6,Rp1.500.000,Jakarta Barat,4.9,60+ terjual
"ASUS Vivobook Go 15 E1504FA Ryzen 3-7320U 16GB 512GB 15.6"" FHD IPS W11 OHS",Rp6.949.000,Jakarta Pusat,5.0,21 terjual
Asus ZenBook 14 UX425UG AMD Ryzen 5 5500U RAM 8 GB SSD 512 GB NVIDIA GEforce MX 450 ( 9411 ),Rp5.700.000,Tangerang,,
LAPTOP Dell 7490 Touchscreen Corei7 Gen8 16GB/512GB SSD FREE TAS/MOUSE,Rp2.300.000,Jakarta Barat,4.6,100+ terjual
Laptop HP ProBook 430 G8 Core i5 Gen 11 i5-1135G7 RAM 16GB 8GB SSD 512GB 256GB 128GB Siap Pakai,Rp4.000.000,Jakarta Barat,5.0,18 terjual
Asus Vivobook F1605ZA I7 1255 16GB 1TB SSD Win11 16.0 FHD IPS,Rp9.349.000,Jakarta Selatan,5.0,1 terjual
Laptop Touchscreen Lenovo Thinkpad T470S Core i7 Gen 6 8GB / 256GB,Rp2.000.000,Jakarta Barat,4.9,500+ terjual
LENOVO IDEAPAD FLEX 5 14 RYZEN 7 5825 X RYZEN 5 5625  16GB 512GB W11+OHS 14.0WUXGA PEN 2Y+ADP,Rp9.649.000,Jakarta Utara,5.0,100+ terjual
Laptop Lenovo X1 Yoga 3RD Core i5 gen 8- TOUCHSCREEN-RAM 8/1TB SSD,Rp3.185.000,Jakarta Barat,4.7,100+ terjual
LAPTOP LENOVO V14 G3 I7 1255 X G4 RYZEN 5 7520 16GB 512GB SSD W11 OFFICE 14.0FHD,Rp6.899.000,Jakarta Utara,5.0,100+ terjual
"HP 14 i7-1255U/i5-1235U/i3-1215U 8GB/16GB 512GB 14"" WIN+OHS FHD IPS  RESMI ORIGINAL",Rp5.339.000,Jakarta Utara,5.0,100+ terjual
"Laptop Lenovo V14 G4 Ryzen 5 7430U 16GB 512SSD 14""FHD IPS  W11 FREE OFFICE",Rp6.949.000,Jakarta Utara,5.0,100+ terjual
"LAPTOP ASUS VIVOBOOK F1605ZA i7 1255U 16GB 1TBSSD W11 16.0"" WUXGA",Rp9.349.000,Jakarta Utara,5.0,2 terjual
Laptop Dell Latitude 7320 vPRO Core i7 Gen 11 - RAM 16GB - SSD 1TB - 13 inch - TouchScreen - Windows 11 Pro,Rp5.499.000,Jakarta Pusat,5.0,60+ terjual
Laptop Asus Expertbook P1403CVA i5 13420H 16GB 512GB 14.0FHD VIPS  W11 OHS,Rp8.449.000,Jakarta Utara,5.0,90+ terjual
Promo Laptop AXIOO MYBOOK HYPE 5 (G12) Intel Core I5 1235U 16GB 512GB 14 Inch Full HD IPS Windows 11 Profesional TERBARU,Rp5.699.000,Jakarta Barat,5.0,10 terjual
Lenovo Ideapad 5 14IRU9 2in1 touch core 5 120u 16gb 512ssd win11+ohs,Rp14.650.890,Jakarta Selatan,,1 terjual
"Asus Vivobook F1504ZA i5 1235u 8GB SSD 512GB IrisXe 15,6"" FHD IPS Windows 11 Home",Rp7.099.000,Jakarta Pusat,5.0,30+ terjual
"LENOVO IdeaPad SLIM 1 N4500 8GB SSD 256GB/512GB 14"" Intel UHD W11 OHS",Rp4.379.000,Jakarta Pusat,5.0,100+ terjual
Laptop Slim Gaming Asus ROG Zephyrus G14 ANIME MATRIX GA401II R75TA8W,Rp14.550.000,Bandung,4.8,7 terjual
"ASUS Vivobook Go 14 E410KA N4500 8GB 256GB INTEL UHD 14"" FHD W11 OHS",Rp3.849.000,Jakarta Pusat,4.9,500+ terjual
Asus VIVOBOOK 14 A1404VA i5 1335 8gb 512ss W11 + OHS FHD BLU -VIPS551,Rp8.149.000,Surabaya,5.0,30+ terjual
LAPTOP AXIOO HYPE 7 AMD X7 RYZEN 7 5825 - HYPE 5 X5 X6 32GB 16GB 1TB 512GB W11 OFFICE 14.0FHD IPS BLIT HDMI,Rp4.399.000,Jakarta Utara,5.0,90+ terjual
